District,State,Growth,Sex_Ratio,Literacy
Thane,Maharashtra,0.3601,886,84.53
North Twenty Four Parganas,West Bengal,0.1204,955,84.06
Bangalore,Karnataka,0.4718,916,87.67
Pune,Maharashtra,0.3037,915,86.15
Mumbai Suburban,Maharashtra,0.0829,860,89.91
South Twenty Four Parganas,West Bengal,0.1817,956,77.51
Barddhaman,West Bengal,0.1192,945,76.21
Ahmadabad,Gujarat,0.2403,904,85.31
Murshidabad,West Bengal,0.2109,958,66.59
Jaipur,Rajasthan,0.2619,910,75.51
Nashik,Maharashtra,0.223,934,82.31
Surat,Gujarat,0.4224,787,85.53
Allahabad,Uttar Pradesh,0.2063,901,72.32
Paschim Medinipur,West Bengal,0.1386,966,78
Patna,Bihar,0.2373,897,70.68
Hugli,West Bengal,0.0946,961,81.8
Rangareddy,Andhra Pradesh,0.4816,961,75.87
Nadia,West Bengal,0.1222,947,74.97
East Godavari,Andhra Pradesh,0.0516,1006,70.99
Purbi Champaran,Bihar,0.2943,902,55.79
Purba Medinipur,West Bengal,0.1536,938,87.02
Guntur,Andhra Pradesh,0.0947,1003,67.4
Haora,West Bengal,0.135,939,83.31
Muzaffarpur,Bihar,0.2814,900,63.43
Belgaum,Karnataka,0.1341,973,73.48
Moradabad,Uttar Pradesh,0.2522,906,56.77
Ghaziabad,Uttar Pradesh,0.4227,881,78.07
Nagpur,Maharashtra,0.144,951,88.39
Chennai,Tamil Nadu,0.0698,989,90.18
Azamgarh,Uttar Pradesh,0.1711,1019,70.93
Lucknow,Uttar Pradesh,0.2582,917,77.29
Kanpur Nagar,Uttar Pradesh,0.0992,862,79.65
Ahmadnagar,Maharashtra,0.1244,939,79.05
Krishna,Andhra Pradesh,0.0787,992,73.74
Kolkata,West Bengal,-0.0167,908,86.31
Jaunpur,Uttar Pradesh,0.1489,1024,71.55
Madhubani,Bihar,0.2551,926,58.62
Sitapur,Uttar Pradesh,0.2388,888,61.12
Bareilly,Uttar Pradesh,0.2293,887,58.49
Gorakhpur,Uttar Pradesh,0.1781,950,70.83
Agra,Uttar Pradesh,0.2205,868,71.58
Gaya,Bihar,0.2643,937,63.67
Solapur,Maharashtra,0.1216,938,77.02
Visakhapatnam,Andhra Pradesh,0.1196,1006,66.91
Samastipur,Bihar,0.2553,911,61.86
Jalgaon,Maharashtra,0.1486,925,78.2
Chittoor,Andhra Pradesh,0.1143,997,71.53
Vadodara,Gujarat,0.1438,934,78.92
Muzaffarnagar,Uttar Pradesh,0.1694,889,69.12
Malappuram,Kerala,0.1345,1098,93.57
Hardoi,Uttar Pradesh,0.2044,868,64.57
Anantapur,Andhra Pradesh,0.121,977,63.57
Raipur,Chhattisgarh,0.347,984,75.56
Kurnool,Andhra Pradesh,0.1485,988,59.97
Mahbubnagar,Andhra Pradesh,0.1534,977,55.04
Kheri,Uttar Pradesh,0.2538,894,60.56
Kancheepuram,Tamil Nadu,0.3895,986,84.49
Maldah,West Bengal,0.2122,944,61.73
Saran,Bihar,0.2164,954,65.96
Hyderabad,Andhra Pradesh,0.0297,954,83.25
Darbhanga,Bihar,0.1947,911,56.56
West Godavari,Andhra Pradesh,0.0351,1004,74.63
Vellore,Tamil Nadu,0.132,1007,79.17
Pashchim Champaran,Bihar,0.2929,909,55.7
Kolhapur,Maharashtra,0.1001,957,81.51
Jalpaiguri,West Bengal,0.1387,953,73.25
Rajkot,Gujarat,0.2002,927,80.96
Sultanpur,Uttar Pradesh,0.1811,983,69.27
Karimnagar,Andhra Pradesh,0.0815,1008,64.15
Thiruvallur,Tamil Nadu,0.3533,987,84.03
